"year","university","tuition_and_fees","total_expenses","total_salaries"
"2015","121901","8577905.0","139261000.0","61915200.0"
"2015","121983","4666625.0","6436200.0","3568010.0"
"2015","121992","75984.0","","1380520.0"
"2015","122117","1409271.0","2258770.0","1281760.0"
"2015","122126","1435462.0","3555780.0","1040570.0"
"2015","122180","7453255.0","","63120700.0"
"2015","122205","22609997.0","","67637100.0"
"2015","122296","57186423.0","53774200.0","29780900.0"
"2015","122320","21322675.0","444498000.0","172226000.0"
"2015","122339","5103221.0","106383000.0","41709700.0"
"2015","122366","4491781.0","17966300.0","974228.0"
"2015","122375","5356122.0","111655000.0","48328800.0"
"2015","122384","2864793.0","59720200.0","25953700.0"
"2015","122409","212228105.0","538888000.0","219342000.0"
"2015","122436","226974000.0","293522000.0","151340000.0"
"2015","122454","19496033.0","22559400.0","11059000.0"
"2015","122506","9889000.0","20161000.0","10609000.0"
"2015","122597","135251637.0","456678000.0","205650000.0"
"2015","122603","450513.0","8555830.0","3183730.0"
"2015","122612","282145000.0","342592000.0","161115000.0"
"2015","122649","3598840.0","4136640.0","2833620.0"
"2015","122658","6081296.0","160999000.0","60438900.0"
"2015","122685","68659032.0","91504800.0","39347800.0"
"2015","122728","17374265.0","28039100.0","9440380.0"
"2015","122737","0.0","176001000.0","7480860.0"
"2015","122746","4644547.0","","32728400.0"
"2015","122755","192678377.0","430842000.0","189748000.0"
"2015","122782","3754997.0","54461200.0","26776100.0"
"2015","122791","5342432.0","77484800.0","38095700.0"
"2015","122834","11088440.0","","3483490.0"
"2015","122852","3503169.0","","1298390.0"
"2015","122889","27579911.0","167971000.0","75991300.0"
"2015","122931","239322000.0","326560000.0","152977000.0"
"2015","122977","55161735.0","252866000.0","116877000.0"
"2015","123013","15071627.0","173766000.0","86508100.0"
"2015","123095","9880025.0","12134200.0","6301710.0"
"2015","123165","31368088.0","61204200.0","21753600.0"
"2015","123217","3415468.0","84730200.0","35139100.0"
"2015","123280","219904.0","643533.0","275490.0"
"2015","123299","4371397.0","70016100.0","28935400.0"
"2015","123341","12486949.0","139304000.0","56442200.0"
"2015","123350","250000.0","","214271.0"
"2015","123396","1001500.0","","405000.0"
"2015","123448","3360147.0","3665830.0","1672740.0"
"2015","123457","15730164.0","21631400.0","10524900.0"
"2015","123484","1946786.0","26522900.0","9705100.0"
"2015","123493","69888.0","","2506930.0"
"2015","123509","5258050.0","76261000.0","37494000.0"
"2015","123527","4581600.0","","33775000.0"
"2015","123554","94596361.0","130797000.0","63726900.0"
"2015","123563","3995422.0","86576500.0","33710700.0"
"2015","123572","53194302.0","180903000.0","72070500.0"
"2015","123633","5461374.0","6069140.0","3231480.0"
"2015","123642","2680150.0","3831300.0","1477040.0"
"2015","123651","32408414.0","40820800.0","20231800.0"
"2015","123679","12231000.0","12394000.0","6576000.0"
"2015","123800","4466664.0","158252000.0","68419000.0"
"2015","123855","2219745.0","7833100.0","2486890.0"
"2015","123916","976867.0","2885750.0","1433790.0"
"2015","123925","0.0","7768250.0","2616710.0"
"2015","123943","15130983.0","29860000.0","12670700.0"
"2015","123952","20347000.0","16356000.0","8844000.0"
"2015","123961","1249949000.0","3980360000.0","1827900000.0"
"2015","123970","39290072.0","37514700.0","18374000.0"
"2015","124113","1944220.0","52649900.0","17833500.0"
"2015","124283","1775236.0","11084800.0","5545840.0"
"2015","124292","6052928.0","16797200.0","6545740.0"
"2015","124487","1669476.0","1993800.0","1003390.0"
"2015","124557","33977000.0","30976500000.0","248745000.0"
"2015","124681","7238274.0","","1889840.0"
"2015","124706","10278000.0","10946000.0","5332000.0"
"2015","124937","9917000.0","10568000.0","5367000.0"
"2015","125019","2091267.0","235161000.0","9588800.0"
"2015","125028","5182808.0","","33252000.0"
"2015","125037","2210321.0","2637670.0","1400960.0"
"2015","125082","1099885.0","","282666.0"
"2015","125091","3073842.0","113694000.0","42791300.0"
"2015","125170","4361310.0","","11181300.0"
"2015","125222","5986090.0","149386000.0","38944800.0"
"2015","125231","566201000.0","498278000.0","121290000.0"
"2015","125310","352061.0","","169365.0"
"2015","125462","1161792.0","","9432070.0"
"2015","125471","5637868.0","","32852200.0"
"2015","125532","20902722.0","","9246820.0"
"2015","125718","1136495.0","4037710.0","2318840.0"
"2015","125727","30973545.0","56698000.0","23677200.0"
"2015","125763","55635014.0","74849500.0","33546300.0"
"2015","125897","38915717.0","46896400.0","23163800.0"
"2015","126012","9816828.0","9516520.0","5862870.0"
"2015","126030","7841034.0","10809300.0","5133750.0"
"2015","126049","27719593.0","29812400.0","9608840.0"
"2015","126076","2676422.0","4020860.0","899000.0"
"2015","126100","0.0","174874000.0","13416000.0"
"2015","126119","3128446.0","49819800.0","24570600.0"
"2015","126164","994131.0","","418242.0"
"2015","126182","18714367.0","59796100.0","25512400.0"
"2015","126207","10093915.0","66875700.0","24810800.0"
"2015","126289","29700782.0","46361900.0","20403200.0"
"2015","126359","4017407.0","5631570.0","2299240.0"
"2015","126401","1978368.0","2256780.0","837964.0"
"2015","126562","241408833.0","1715080000.0","951459000.0"
"2015","126580","103735714.0","174059000.0","84392300.0"
"2015","126605","10756834.0","10689000.0","4223550.0"
"2015","126614","539664752.0","1280960000.0","585915000.0"
"2015","126669","48295546.0","59125600.0","23793500.0"
"2015","126678","67538000.0","129573000.0","54040900.0"
