"year","university","tuition_and_fees","total_expenses"
"2015","126562","241408833.0","1715080000.0"
"2015","126580","103735714.0","174059000.0"
"2015","126605","10756834.0","10689000.0"
"2015","126614","539664752.0","1280960000.0"
"2015","126669","48295546.0","59125600.0"
"2015","126678","67538000.0","129573000.0"
"2015","126687","11007000.0","12007000.0"
"2015","126702","17906849.0","27258500.0"
"2015","126711","7820154.0","84677400.0"
"2015","126748","4755839.0","15403400.0"
"2015","126775","115027440.0","240089000.0"
"2015","126784","2171109.0","1678250.0"
"2015","126818","363593739.0","1000200000.0"
"2015","126827","21776916.0","19312800.0"
"2015","126854","873232.0",""
"2015","126863","19590367.0","41412400.0"
"2015","126872","10014523.0","9300830.0"
"2015","126915","896954.0",""
"2015","126942","27514160.0","60020100.0"
"2015","126951","17576602.0",""
"2015","126979","6633692.0","11987900.0"
"2015","127060","293232592.0","382097000.0"
"2015","127158","6175119.0",""
"2015","127185","17616406.0","74544700.0"
"2015","127200","64302540.0","110143000.0"
"2015","127219","382557.0",""
"2015","127228","1560343.0",""
"2015","127273","4101623.0","8196720.0"
"2015","127316","2183125.0",""
"2015","127389","2289267.0","9075300.0"
"2015","127556","55116038.0","117632000.0"
"2015","127565","101794541.0","182040000.0"
"2015","127617","4043911.0","11193600.0"
"2015","127653","19898225.0","23924900.0"
"2015","127680","2368919.0",""
"2015","127699","2358270.0",""
"2015","127714","3721554.0","5739080.0"
"2015","127732","5356807.0","19560700.0"
"2015","127741","102175619.0","216513000.0"
"2015","127778","3291310.0","22821900.0"
"2015","127787","2264567.0","2590010.0"
"2015","127820","42759692.0","85208100.0"
"2015","127839","4820523.0","5341770.0"
"2015","127884","15934655.0","45700600.0"
"2015","127909","30969115.0","56725400.0"
"2015","127918","106971805.0","130582000.0"
"2015","127945","13211308.0","24781800.0"
"2015","127954","652773.0",""
"2015","128106","33106680.0","81680800.0"
"2015","128151","1421836.0",""
"2015","128179","13726194.0","8895720.0"
"2015","128188","8617556.0","9782880.0"
"2015","128258","3946603.0","19003100.0"
"2015","128300","0.0","169407000.0"
