,year,university,tuition_and_fees,pell_grants,total_expenses,total_salaries
5249,2015,442204,756322.0,411377.0,,172194.0
5262,2015,442569,48410147.0,30389200.0,70373900.0,28384000.0
5263,2015,442602,7426324.0,1958690.0,,3889360.0
5267,2015,442718,4651621.0,1293220.0,,1766150.0
5274,2015,442879,8485386.0,2490090.0,9437240.0,4820280.0
5275,2015,442930,10639206.0,3108580.0,10932900.0,4871150.0
5292,2015,443216,1928683.0,628305.0,,717108.0
5312,2015,443599,4680443.0,840133.0,3889370.0,1259060.0
5324,2015,443784,24708456.0,4625380.0,20217800.0,5239230.0
5332,2015,444158,302786915.0,70777100.0,240966000.0,66055400.0
5337,2015,444255,2250883.0,594512.0,,961803.0
5342,2015,444316,612362.0,498284.0,,427314.0
5345,2015,444343,2098158.0,562763.0,1972180.0,1972180.0
5349,2015,444404,321394.0,194479.0,,190773.0
5357,2015,444547,325095.0,46751.0,,181116.0
5387,2015,445027,174021045.0,47541700.0,178522000.0,52822300.0
5397,2015,445230,8810506.0,2449470.0,9322520.0,3935450.0
5457,2015,446552,23138631.0,8221780.0,21748400.0,7832180.0
5479,2015,447014,3293804.0,1106850.0,3568210.0,1633870.0
5481,2015,447050,5106503.0,732707.0,10848800.0,4817250.0
5491,2015,447360,2479810.0,607422.0,4829720.0,1700980.0
5493,2015,447403,17296000.0,2232000.0,,6533000.0
5494,2015,447421,3498855.0,1113310.0,4774910.0,1230090.0
5513,2015,447795,185675.0,55798.0,,131050.0
5548,2015,448345,9229903.0,2464640.0,14146200.0,4055870.0
5561,2015,448576,24824148.0,7279370.0,35457000.0,10427600.0
5562,2015,448585,4406581.0,1307640.0,,1702540.0
5564,2015,448600,3688318.0,964919.0,,1273930.0
5568,2015,448673,23982834.0,4538520.0,25867900.0,10023500.0
5583,2015,449038,33511016.0,6515010.0,29383800.0,8209620.0
5584,2015,449074,7322239.0,1658350.0,7787510.0,3029080.0
5592,2015,449339,317134000.0,70344000.0,252578000.0,116843000.0
5605,2015,449524,3120572.0,759584.0,3395720.0,1434960.0
5633,2015,449986,3478661.0,780328.0,,1111240.0
5639,2015,450067,6497414.0,1710910.0,7326480.0,2838520.0
5644,2015,450128,4959106.0,1630040.0,,1427160.0
5645,2015,450173,191013331.0,61618300.0,,70524300.0
5659,2015,450377,8799056.0,1490490.0,6811880.0,1697630.0
5660,2015,450401,4705036.0,1315540.0,4632330.0,2749880.0
5668,2015,450571,16167384.0,3047620.0,18193000.0,6711230.0
5681,2015,450933,69806716.0,23717500.0,71282600.0,28317500.0
5685,2015,450979,40326000.0,3877000.0,71052000.0,19410000.0
5691,2015,451060,5290849.0,970803.0,5236270.0,2426070.0
5735,2015,451662,90131631.0,26353700.0,113285000.0,42029800.0
5745,2015,451875,2217714.0,700022.0,,764508.0
5746,2015,451884,2766004.0,962149.0,,694874.0
5763,2015,452081,6029776.0,2079500.0,3797960.0,1519190.0
5772,2015,452984,87055.0,0.0,,24000.0
5773,2015,453163,41836934.0,7940030.0,31422300.0,7926280.0
5774,2015,453215,6561605.0,1427780.0,8790640.0,2632260.0
5786,2015,454227,246776521.0,14926700.0,,55354200.0
5787,2015,454236,15703364.0,1880810.0,,8334040.0
5790,2015,454458,2375205.0,741096.0,,632251.0
5799,2015,454689,3681313.0,0.0,3040800.0,1786250.0
5806,2015,454786,10877060.0,2349020.0,10009100.0,3847900.0
5810,2015,454829,5225761.0,401823.0,9494050.0,4281000.0
5816,2015,454883,5782046.0,1938090.0,5574170.0,5453470.0
5892,2015,455983,1062611.0,1293400.0,2436310.0,933045.0
5897,2015,456038,4217905.0,826112.0,4849910.0,1762080.0
5914,2015,456348,80805470.0,33019500.0,111999000.0,41561200.0
5916,2015,456409,3000674.0,846011.0,3385530.0,896624.0
5929,2015,456621,2232913.0,602945.0,1851680.0,589610.0
5986,2015,457688,3505789.0,1309900.0,4810930.0,2318420.0
6015,2015,458034,484953.0,159562.0,423174.0,237600.0
6023,2015,458122,123130.0,34063.0,,19318.0
6036,2015,458432,6103620.0,1352060.0,7880660.0,1132480.0
6041,2015,458557,5088179.0,1502910.0,,1528160.0
6054,2015,458885,2903348.0,580748.0,2284150.0,662643.0
6055,2015,458919,57064441.0,12823500.0,41822500.0,10874500.0
6056,2015,458955,3158045.0,630329.0,2764180.0,959634.0
6057,2015,458964,21861080.0,3908770.0,15002000.0,3909110.0
6058,2015,458973,17184902.0,3600820.0,17998000.0,5224660.0
6077,2015,459204,20800846.0,3003560.0,20012900.0,10565300.0
6080,2015,459231,3591044.0,681353.0,,1372630.0
6124,2015,459842,6021375.0,1776400.0,4746100.0,1706140.0
6130,2015,459994,62275021.0,6146580.0,43673400.0,13582400.0
6143,2015,460136,9254489.0,2392060.0,11018200.0,4250490.0
6169,2015,460729,11980233.0,4808170.0,11923900.0,5675360.0
6170,2015,460738,20461254.0,487254.0,17527400.0,7618580.0
6176,2015,460808,221221.0,101641.0,,94492.0
6195,2015,461005,4233503.0,1484290.0,4470200.0,1909920.0
6196,2015,461023,7170655.0,3361840.0,4059160.0,2119730.0
6211,2015,461254,253631.0,103910.0,,96238.0
6218,2015,461324,1878833.0,305360.0,,724337.0
6249,2015,461704,1315734.0,289036.0,,878208.0
6266,2015,461883,1511737.0,62363.0,1648980.0,1011100.0
6295,2015,466152,2351934.0,879820.0,,538444.0
6297,2015,466170,3283010.0,1118560.0,,680648.0
6298,2015,466189,2284951.0,760138.0,,568095.0
6322,2015,469197,1086456.0,535160.0,,488058.0
6323,2015,469610,11023281.0,3371690.0,,3341510.0
6333,2015,470092,5727149.0,1937950.0,13870800.0,3237620.0
6364,2015,475255,754609.0,320327.0,,191850.0
6366,2015,475282,827771.0,207122.0,,368402.0
6382,2015,475529,796392.0,117271.0,,496176.0
6388,2015,475583,1445022.0,430947.0,,502363.0
6405,2015,475839,2929288.0,252720.0,2926980.0,1332220.0
6426,2015,476595,1104706.0,329592.0,,723779.0
6463,2015,477996,1864777.0,644253.0,,574925.0
6464,2015,478005,2094362.0,684942.0,,470246.0
6465,2015,478014,2292339.0,808522.0,,716265.0
6475,2015,479248,336014.0,553897.0,812105.0,354829.0
6485,2015,479655,4425004.0,1303810.0,3794570.0,1126120.0
6495,2015,480064,6143026.0,1705390.0,4732610.0,1796820.0
6498,2015,480091,35501878.0,12303500.0,32844500.0,5104310.0
6515,2015,480657,3486630.0,719872.0,6321950.0,1729750.0
6553,2015,481207,912452.0,121400.0,,238846.0
