"year","university","research_total","endowment_value_fiscal_year_end","total_expenses","total_salaries"
"2015","118347","0.0","1013180.0","76102600.0","32801400.0"
"2015","118541","0.0","9754900.0","29852700.0","11535900.0"
"2015","118684","0.0","9149470.0","37460500.0","14262000.0"
"2015","118693","0.0","27789300.0","25968700.0","10715300.0"
"2015","118718","0.0","6822140.0","97685600.0","35684300.0"
"2015","118772","0.0","","","15874900.0"
"2015","118888","2679200.0","182723000.0","68319700.0","33127000.0"
"2015","118912","0.0","5673770.0","129605000.0","66620100.0"
"2015","118930","0.0","","","35949000.0"
"2015","118958","0.0","","","147425.0"
"2015","118967","0.0","","8997420.0","4222180.0"
"2015","118976","0.0","5602550.0","","45392000.0"
"2015","118994","0.0","","","438294.0"
"2015","119067","0.0","","47128000.0","30188200.0"
"2015","119137","0.0","","","34056200.0"
"2015","119164","0.0","","278585000.0","123206000.0"
"2015","119173","0.0","129458000.0","81214000.0","35798000.0"
"2015","119216","351621.0","2888020.0","95407600.0","41234600.0"
"2015","119234","0.0","","1994010.0","840301.0"
"2015","119270","0.0","","27212200.0","14637600.0"
"2015","119331","0.0","","59706500.0","23765200.0"
"2015","119553","0.0","","","5353610.0"
"2015","119605","2157380.0","595884000.0","218156000.0","94420500.0"
"2015","119775","0.0","","15910000.0","6058880.0"
"2015","119845","0.0","","","644405.0"
"2015","119951","0.0","","","1075320.0"
"2015","120023","0.0","","301077000.0","0.0"
"2015","120069","0.0","","","1363770.0"
"2015","120078","0.0","","6808220.0","3198890.0"
"2015","120087","0.0","","","965529.0"
"2015","120184","0.0","20635700.0","40049100.0","18676100.0"
"2015","120254","3184910.0","392167000.0","111988000.0","50647200.0"
"2015","120272","0.0","","","378175.0"
"2015","120290","120024.0","1983000.0","70739300.0","39834800.0"
"2015","120342","0.0","2995180.0","152279000.0","61968700.0"
"2015","120403","0.0","16178900.0","40106100.0","21214600.0"
"2015","120421","0.0","","","20480600.0"
"2015","120537","0.0","5738270.0","20767800.0","10054800.0"
"2015","120661","0.0","","12481000.0","6782000.0"
"2015","120698","0.0","682795.0","28226600.0","15014100.0"
"2015","120768","0.0","6756380.0","16224100.0","7471320.0"
"2015","120795","620.0","37901800.0","7175580.0","3157130.0"
"2015","120838","0.0","","2453140.0","1334550.0"
"2015","120865","0.0","24915400.0","49755900.0","18422700.0"
"2015","120883","13153200.0","385014000.0","311234000.0","142844000.0"
"2015","120953","56272.0","1335600.0","19629400.0","7638280.0"
"2015","120971","583799.0","3815960.0","189178000.0","80901400.0"
"2015","121017","0.0","","","912385.0"
"2015","121044","0.0","","222069000.0","102201000.0"
"2015","121150","3092000.0","793188000.0","302489000.0","133734000.0"
"2015","121178","0.0","","265062000.0","14568600.0"
"2015","121257","281956.0","132710000.0","57339700.0","21435400.0"
"2015","121275","0.0","","5047780.0","2642210.0"
"2015","121309","505114.0","51961200.0","85828800.0","39969400.0"
"2015","121345","3085000.0","2098700000.0","157134000.0","65753000.0"
"2015","121363","0.0","","","13867200.0"
"2015","121433","0.0","","","409528.0"
"2015","121619","0.0","691327.0","","64737900.0"
"2015","121628","395663.0","31942500.0","","1928220.0"
"2015","121637","0.0","","","290187.0"
"2015","121691","0.0","125701000.0","123082000.0","55548400.0"
"2015","121707","0.0","4419180.0","68706700.0","20250600.0"
